,Latitude,Longitude,Stop_Name,Status
0,40.686511,-73.947808,GATES AV/MARCY AV,at stop
1,40.685812,-73.954024,GATES AV/BEDFORD AV,at stop
2,40.688502,-73.930498,GATES AV/MALCOLM X BL,at stop
3,40.687223,-73.941507,GATES AV/THROOP AV,at stop
4,40.688238,-73.932831,GATES AV/STUYVESANT AV,at stop
5,40.686161,-73.970238,GREENE AV/ADELPHI ST,at stop
6,40.692432,-73.990249,JORALEMON ST/COURT ST,approaching
7,40.691661,-73.987921,FULTON ST/SMITH ST,approaching
8,40.699321,-73.911267,N/A,N/A
9,40.68755,-73.938703,GATES AV/MARCUS GARVEY BL,approaching
10,40.699321,-73.911267,N/A,N/A
11,40.69003,-73.983795,FULTON ST/DUFFIELD ST,approaching
12,40.686038,-73.97139,GREENE AV/CUMBERLAND ST,approaching
13,40.699222,-73.912503,GATES AV/IRVING AV,approaching
