,Latitude,Longitude,Stop_Name,Status
0,40.809127,-73.948104,ADAM C POWELL BL/W 125 ST,at stop
1,40.807249,-73.949461,ADAM C POWELL BL/W 123 ST,approaching
2,40.840809,-73.939125,BROADWAY/W 168 ST,approaching
3,40.840661,-73.938783,BROADWAY/W 168 ST,approaching
4,40.804383,-73.951561,ADAM C POWELL BL/WEST 119 ST,approaching
5,40.822415,-73.938583,ADAM C POWELL BL/W 145 ST,approaching
6,40.769436,-73.969235,5 AV/W 66 ST,< 1 stop away
7,40.801759,-73.953471,ADAM C POWELL BL/W 116 ST,< 1 stop away
8,40.81188,-73.946093,ADAM C POWELL BL/W 133 ST,< 1 stop away
9,40.750991,-73.980593,MADISON AV/E 42 ST,< 1 stop away
10,40.7382,-73.992007,5 AV/W 13 ST,< 1 stop away
11,40.773383,-73.964254,MADISON AV/E 79 ST,< 1 stop away
