,Latitude,Longitude,Stop_Name,Status
0,40.686153,-73.950903,GATES AV/NOSTRAND AV,at stop
1,40.687356,-73.960023,GREENE AV/CLASSON AV,at stop
2,40.687943,-73.978558,FULTON ST/ASHLAND PL,approaching
3,40.686901,-73.944371,GATES AV/TOMPKINS AV,approaching
4,40.693866,-73.990441,N/A,N/A
5,40.688574,-73.929845,GATES AV/MALCOLM X BL,approaching
6,40.699321,-73.911267,N/A,N/A
7,40.691803,-73.988286,FULTON ST/SMITH ST,approaching
8,40.690997,-73.986222,FULTON ST/JAY ST,approaching
9,40.689825,-73.921749,GATES AV/BROADWAY,approaching
10,40.696205,-73.990924,Tillary St (not used),approaching
11,40.689269,-73.924011,GATES AV/BROADWAY,< 1 stop away
12,40.689269,-73.924011,GATES AV/BROADWAY,< 1 stop away
13,40.687193,-73.961471,GREENE AV/CLASSON AV,< 1 stop away
14,40.700797,-73.910275,GATES AV/WYCKOFF AV,< 1 stop away
15,40.685842,-73.972987,FULTON ST/S ELLIOTT PL,< 1 stop away
16,40.695531,-73.988996,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
