FID,building,sky,tree,road,grass,sidewalk,person,earth,plant,car,fence,signboard,streetlight,van,wall,ceiling,skyscraper,column,railing,ashcan,sculpture
0,0.001839,0.442307,0.240364,0.145523,0.025276,0.004265,0.009796,6.1e-05,0.058617,0.00251,0.000435,0.03981,0.01152,,,,,,,,
1,6.9e-05,0.476166,0.250168,0.212654,0.003036,,,0.000526,0.018982,0.002449,0.018776,0.005852,3.1e-05,0.011292,,,,,,,
10,0.729256,,0.032829,0.102409,,0.025848,,,,0.035606,0.016525,0.006409,,,0.003792,0.047325,,,,,
11,0.567902,0.090797,0.135017,0.00972,,0.00206,,,0.102463,0.021606,,0.025185,,,,0.039322,,,,,
12,0.455017,0.023499,0.275612,0.091537,,0.003296,,,0.000923,0.139732,0.00135,0.000557,,,,,,,,,
13,0.490433,0.291504,0.00032,0.093521,0.000809,0.053711,,,0.034943,0.026802,0.004303,0.002991,,,0.000664,,,,,,
14,0.260696,0.177094,0.30983,0.065559,0.017128,0.032425,,0.000198,0.011749,0.002914,,0.021896,,,,,0.10051,,,,
2,0.27166,0.241783,0.234901,0.129265,0.036621,0.003487,,,0.006088,0.039803,0.028488,0.007904,,,,,,,,,
3,0.257309,0.254219,0.225311,0.211906,0.003761,0.006126,0.00766,,0.001778,0.023788,0.002998,0.005005,,,,,,,,,
4,0.023766,0.127129,0.557915,0.047264,0.012337,0.05938,,,0.001984,,0.070328,4.6e-05,,,0.099854,,,,,,
5,0.098328,0.270615,0.054634,0.125221,0.002342,0.010674,,,0.016212,,,0.057281,0.000244,,0.009308,0.107178,,0.229271,,,
6,0.293633,0.347092,0.023796,0.028564,0.001068,0.11721,0.009521,,0.062843,0.021629,0.005898,0.009697,,,0.009636,,,,0.002609,0.00351,
7,0.489677,0.086029,0.082207,0.124222,0.080101,0.097778,0.000214,,,0.023399,,0.01223,,,0.002884,,,,,,0.000145
8,0.529335,0.073448,0.167793,0.001663,0.001068,0.000542,,,0.098663,,0.000267,0.020912,,,0.102875,,,,,,
9,0.426842,0.22403,0.124702,0.008011,,0.032127,,,,0.067169,0.069809,8e-06,,,0.008888,,,,0.038414,,
